product_id,product_name,category_id,price,stock_quantity
1,Product_1,173,1169,880
2,Product_2,468,2459,780
3,Product_3,77,2441,243
4,Product_4,390,879,346
5,Product_5,302,2012,127
6,Product_6,489,3932,328
7,Product_7,182,1391,292
8,Product_8,359,3276,82
9,Product_9,254,3947,591
10,Product_10,443,1474,557
11,Product_11,170,4164,311
12,Product_12,394,2037,658
13,Product_13,196,2238,987
14,Product_14,165,2579,564
15,Product_15,124,1662,614
16,Product_16,461,286,380
17,Product_17,211,3874,533
18,Product_18,57,4396,533
19,Product_19,445,3780,302
20,Product_20,149,3420,408
21,Product_21,45,1934,449
22,Product_22,72,1396,162
23,Product_23,409,1713,270
24,Product_24,175,2119,893
25,Product_25,45,4872,150
26,Product_26,234,744,902
27,Product_27,423,1048,476
28,Product_28,101,863,13
29,Product_29,106,3725,65
30,Product_30,308,3704,791
31,Product_31,440,3434,356
32,Product_32,464,3972,849
33,Product_33,76,1364,448
34,Product_34,395,4217,332
35,Product_35,361,3072,21
36,Product_36,168,4225,867
37,Product_37,3,2321,336
38,Product_38,337,2586,987
39,Product_39,261,552,839
40,Product_40,420,2007,587
41,Product_41,235,1931,635
42,Product_42,209,3998,609
43,Product_43,103,2921,569
44,Product_44,364,3118,716
45,Product_45,201,73,863
46,Product_46,193,1463,569
47,Product_47,140,1320,575
48,Product_48,409,3960,418
49,Product_49,293,658,125
50,Product_50,239,4591,589
51,Product_51,401,3502,62
52,Product_52,213,2356,167
53,Product_53,249,1317,341
54,Product_54,500,2216,375
55,Product_55,49,4499,216
56,Product_56,167,4541,225
57,Product_57,247,832,523
58,Product_58,109,3300,981
59,Product_59,320,1844,230
60,Product_60,186,3371,497
61,Product_61,33,2667,242
62,Product_62,96,345,38
63,Product_63,320,3015,257
64,Product_64,329,4452,882
65,Product_65,59,3429,2
66,Product_66,207,1439,765
67,Product_67,247,2921,349
68,Product_68,420,1041,710
69,Product_69,386,3846,56
70,Product_70,79,4401,356
71,Product_71,154,2750,26
72,Product_72,378,1724,992
73,Product_73,79,4301,566
74,Product_74,100,1508,459
75,Product_75,131,355,922
76,Product_76,327,3052,216
77,Product_77,154,3410,35
78,Product_78,44,4780,748
79,Product_79,292,960,107
80,Product_80,352,1719,488
81,Product_81,267,4032,304
82,Product_82,415,3482,685
83,Product_83,183,4624,248
84,Product_84,144,2222,912
85,Product_85,309,1586,49
86,Product_86,276,4359,716
87,Product_87,313,52,306
88,Product_88,5,2011,764
89,Product_89,468,2407,186
90,Product_90,493,108,508
91,Product_91,335,353,911
92,Product_92,210,751,914
93,Product_93,284,3439,339
94,Product_94,115,1231,994
95,Product_95,113,370,222
96,Product_96,135,678,608
97,Product_97,219,3551,163
98,Product_98,420,1600,644
99,Product_99,246,3867,521
100,Product_100,266,4412,261
101,Product_101,411,4588,112
102,Product_102,15,4371,261
103,Product_103,448,1271,796
104,Product_104,125,4335,0
105,Product_105,162,1509,91
106,Product_106,208,1464,414
107,Product_107,306,1413,460
108,Product_108,181,3448,877
109,Product_109,327,166,534
110,Product_110,402,4956,611
111,Product_111,197,347,169
112,Product_112,20,2444,49
113,Product_113,78,1689,945
114,Product_114,97,4802,233
115,Product_115,449,4660,493
116,Product_116,39,1867,77
117,Product_117,181,3322,263
118,Product_118,237,3764,336
119,Product_119,62,3424,261
120,Product_120,408,3107,334
121,Product_121,340,156,382
122,Product_122,199,1096,772
123,Product_123,342,2372,109
124,Product_124,464,1665,894
125,Product_125,3,4316,131
126,Product_126,268,1466,194
127,Product_127,143,1520,243
128,Product_128,8,1603,18
129,Product_129,441,2865,196
130,Product_130,81,1101,839
131,Product_131,387,2783,333
132,Product_132,375,4103,159
133,Product_133,275,4945,587
134,Product_134,125,3400,540
135,Product_135,244,45,134
136,Product_136,468,836,584
137,Product_137,424,1733,504
138,Product_138,33,3157,46
139,Product_139,192,3175,336
140,Product_140,275,758,868
141,Product_141,274,1515,985
142,Product_142,15,4591,827
143,Product_143,239,4328,528
144,Product_144,492,3699,425
145,Product_145,105,1562,205
146,Product_146,8,3573,481
147,Product_147,430,2210,152
148,Product_148,76,564,234
149,Product_149,96,2849,96
150,Product_150,355,270,81
151,Product_151,169,3684,160
152,Product_152,259,128,882
153,Product_153,198,1496,376
154,Product_154,245,808,748
155,Product_155,207,1399,507
156,Product_156,132,3726,794
157,Product_157,186,3104,470
158,Product_158,176,3809,92
